Node_ID,Total_L_Neighbors,CenterPoint
M001,1,"(2600, 1500)"
M002,5,"(2583, 1592)"
M003,4,"(2536, 1679)"
M004,1,"(2459, 1757)"
M005,4,"(2358, 1820)"
M006,4,"(2237, 1867)"
M007,5,"(2104, 1893)"
M008,1,"(1965, 1899)"
M009,2,"(1827, 1883)"
M010,2,"(1700, 1846)"
M011,1,"(1588, 1790)"
M012,1,"(1498, 1719)"
M013,4,"(1436, 1636)"
M014,4,"(1404, 1546)"
M015,3,"(1404, 1453)"
M016,4,"(1436, 1363)"
M017,1,"(1498, 1280)"
M018,3,"(1588, 1209)"
M019,4,"(1699, 1153)"
M020,2,"(1827, 1116)"
M021,4,"(1965, 1100)"
M022,4,"(2104, 1106)"
M023,4,"(2237, 1132)"
M024,4,"(2358, 1179)"
M025,5,"(2459, 1242)"
M026,1,"(2536, 1320)"
M027,3,"(2583, 1407)"
