Node_ID,Total_L_Neighbors,CenterPoint
M001,4,"(2000, 1467)"
M002,3,"(2300, 1508)"
M003,2,"(2600, 1539)"
M004,2,"(2900, 1479)"
M005,3,"(3200, 1495)"
M006,2,"(3500, 1486)"
M007,5,"(3800, 1555)"
M008,3,"(4100, 1520)"
M009,5,"(4400, 1512)"
M010,5,"(4700, 1476)"
M011,3,"(5000, 1516)"
M012,4,"(5300, 1479)"
M013,4,"(5600, 1500)"
M014,2,"(5900, 1480)"
M015,3,"(6200, 1520)"
M016,5,"(6500, 1517)"
M017,4,"(6800, 1493)"
M018,4,"(7100, 1511)"
M019,2,"(7400, 1467)"
M020,2,"(7700, 1455)"
M021,2,"(8000, 1513)"
M022,2,"(8300, 1505)"
