Node_ID,Total_L_Neighbors,CenterPoint
M001,4,"(2600, 1500)"
M002,3,"(2589, 1573)"
M003,1,"(2559, 1644)"
M004,5,"(2510, 1710)"
M005,3,"(2443, 1769)"
M006,2,"(2361, 1819)"
M007,5,"(2267, 1858)"
M008,4,"(2164, 1884)"
M009,2,"(2055, 1898)"
M010,4,"(1944, 1898)"
M011,3,"(1835, 1884)"
M012,3,"(1732, 1858)"
M013,2,"(1638, 1819)"
M014,1,"(1556, 1769)"
M015,2,"(1489, 1710)"
M016,1,"(1440, 1644)"
M017,2,"(1410, 1573)"
M018,2,"(1400, 1500)"
M019,5,"(1410, 1426)"
M020,1,"(1440, 1355)"
M021,1,"(1489, 1289)"
M022,3,"(1556, 1230)"
M023,4,"(1638, 1180)"
M024,3,"(1732, 1141)"
M025,1,"(1835, 1115)"
M026,5,"(1944, 1101)"
M027,1,"(2055, 1101)"
M028,4,"(2164, 1115)"
M029,4,"(2267, 1141)"
M030,2,"(2361, 1180)"
M031,5,"(2443, 1230)"
M032,3,"(2510, 1289)"
M033,5,"(2559, 1355)"
M034,2,"(2589, 1426)"
