Node_ID,Total_L_Neighbors,CenterPoint
M001,5,"(2000, 1500)"
M002,4,"(2300, 1444)"
M003,3,"(2600, 1489)"
M004,2,"(2900, 1518)"
M005,1,"(3200, 1452)"
M006,2,"(3500, 1500)"
M007,5,"(3800, 1468)"
M008,5,"(4100, 1483)"
M009,2,"(4400, 1500)"
M010,5,"(4700, 1505)"
M011,4,"(5000, 1485)"
M012,1,"(5300, 1508)"
M013,4,"(5600, 1524)"
M014,3,"(5900, 1491)"
M015,1,"(6200, 1542)"
M016,1,"(6500, 1543)"
M017,5,"(6800, 1487)"
M018,3,"(7100, 1480)"
M019,2,"(7400, 1450)"
M020,3,"(7700, 1496)"
M021,2,"(8000, 1489)"
M022,3,"(8300, 1523)"
M023,3,"(8600, 1454)"
M024,2,"(8900, 1491)"
M025,4,"(9200, 1529)"
M026,5,"(9500, 1478)"
M027,5,"(9800, 1477)"
M028,5,"(10100, 1456)"
M029,2,"(10400, 1578)"
