Node_ID,Total_L_Neighbors,CenterPoint
M001,4,"(2000, 1500)"
M002,2,"(2300, 1512)"
M003,1,"(2600, 1529)"
M004,1,"(2900, 1485)"
M005,5,"(3200, 1521)"
M006,4,"(3500, 1533)"
M007,4,"(3800, 1435)"
M008,2,"(4100, 1487)"
M009,1,"(4400, 1467)"
M010,1,"(4700, 1506)"
M011,2,"(5000, 1466)"
M012,3,"(5300, 1468)"
M013,1,"(5600, 1530)"
M014,4,"(5900, 1546)"
M015,2,"(6200, 1487)"
M016,2,"(6500, 1525)"
M017,5,"(6800, 1493)"
M018,1,"(7100, 1524)"
M019,1,"(7400, 1508)"
M020,4,"(7700, 1483)"
M021,3,"(8000, 1557)"
M022,4,"(8300, 1485)"
M023,3,"(8600, 1543)"
M024,5,"(8900, 1465)"
M025,4,"(9200, 1524)"
M026,4,"(9500, 1552)"
