Node_ID,Total_L_Neighbors,CenterPoint
M001,2,"(2000, 1500)"
M002,1,"(2500, 1500)"
M003,2,"(2475, 1654)"
M004,5,"(2404, 1793)"
M005,3,"(2293, 1904)"
M006,5,"(2154, 1975)"
M007,3,"(2000, 2000)"
M008,2,"(1845, 1975)"
M009,4,"(1706, 1904)"
M010,2,"(1595, 1793)"
M011,4,"(1524, 1654)"
M012,2,"(1500, 1500)"
M013,5,"(1524, 1345)"
M014,3,"(1595, 1206)"
M015,2,"(1706, 1095)"
M016,1,"(1845, 1024)"
M017,3,"(2000, 1000)"
M018,5,"(2154, 1024)"
M019,2,"(2293, 1095)"
M020,3,"(2404, 1206)"
M021,1,"(2475, 1345)"
