Node_ID,Total_L_Neighbors,CenterPoint
M001,3,"(2000, 1559)"
M002,4,"(2300, 1505)"
M003,4,"(2600, 1550)"
M004,1,"(2900, 1514)"
M005,4,"(3200, 1529)"
M006,4,"(3500, 1490)"
M007,1,"(3800, 1483)"
M008,1,"(4100, 1471)"
M009,4,"(4400, 1479)"
M010,4,"(4700, 1534)"
M011,5,"(5000, 1463)"
M012,2,"(5300, 1529)"
M013,5,"(5600, 1482)"
M014,5,"(5900, 1472)"
M015,3,"(6200, 1496)"
M016,4,"(6500, 1529)"
M017,5,"(6800, 1478)"
M018,4,"(7100, 1467)"
M019,5,"(7400, 1514)"
M020,3,"(7700, 1458)"
M021,4,"(8000, 1514)"
M022,2,"(8300, 1493)"
M023,3,"(8600, 1500)"
