Node_ID,Total_L_Neighbors,CenterPoint
M001,4,"(2000, 1500)"
M002,4,"(2400, 1500)"
M003,2,"(2800, 1500)"
M004,4,"(3200, 1500)"
M005,5,"(2000, 1800)"
M006,1,"(2400, 1800)"
M007,4,"(2800, 1800)"
M008,1,"(3200, 1800)"
M009,1,"(2000, 2100)"
M010,4,"(2400, 2100)"
M011,2,"(2800, 2100)"
M012,3,"(3200, 2100)"
M013,4,"(2000, 2400)"
M014,3,"(2400, 2400)"
M015,4,"(2800, 2400)"
M016,1,"(3200, 2400)"
M017,4,"(2000, 2700)"
M018,3,"(2400, 2700)"
M019,1,"(2800, 2700)"
M020,4,"(3200, 2700)"
M021,2,"(2000, 3000)"
M022,5,"(2400, 3000)"
M023,4,"(2800, 3000)"
M024,2,"(3200, 3000)"
M025,3,"(2000, 3300)"
M026,2,"(2400, 3300)"
M027,5,"(2800, 3300)"
M028,2,"(3200, 3300)"
