Node_ID,Total_L_Neighbors,CenterPoint
M001,1,"(2000, 1500)"
M002,3,"(2400, 1500)"
M003,3,"(2800, 1500)"
M004,5,"(2000, 1800)"
M005,1,"(2400, 1800)"
M006,5,"(2800, 1800)"
M007,4,"(2000, 2100)"
M008,5,"(2400, 2100)"
M009,5,"(2800, 2100)"
M010,1,"(2000, 2400)"
M011,5,"(2400, 2400)"
M012,5,"(2800, 2400)"
M013,3,"(2000, 2700)"
M014,5,"(2400, 2700)"
M015,1,"(2800, 2700)"
M016,3,"(2000, 3000)"
M017,2,"(2400, 3000)"
M018,2,"(2800, 3000)"
M019,5,"(2000, 3300)"
M020,3,"(2400, 3300)"
M021,4,"(2800, 3300)"
