Node_ID,Total_L_Neighbors,CenterPoint
M001,4,"(2000, 1506)"
M002,1,"(2300, 1478)"
M003,3,"(2600, 1520)"
M004,5,"(2900, 1479)"
M005,4,"(3200, 1491)"
M006,4,"(3500, 1539)"
M007,5,"(3800, 1496)"
M008,2,"(4100, 1475)"
M009,1,"(4400, 1486)"
M010,3,"(4700, 1530)"
M011,3,"(5000, 1483)"
M012,2,"(5300, 1488)"
M013,3,"(5600, 1484)"
M014,3,"(5900, 1505)"
M015,4,"(6200, 1488)"
M016,1,"(6500, 1451)"
M017,4,"(6800, 1473)"
M018,5,"(7100, 1472)"
M019,4,"(7400, 1537)"
M020,2,"(7700, 1524)"
M021,1,"(8000, 1517)"
M022,2,"(8300, 1484)"
M023,1,"(8600, 1475)"
M024,1,"(8900, 1484)"
M025,1,"(9200, 1468)"
M026,3,"(9500, 1574)"
M027,4,"(9800, 1432)"
M028,3,"(10100, 1516)"
M029,3,"(10400, 1461)"
M030,4,"(10700, 1496)"
