Node_ID,Total_L_Neighbors,CenterPoint
M001,2,"(2000, 1467)"
M002,4,"(2300, 1491)"
M003,2,"(2600, 1538)"
M004,4,"(2900, 1487)"
M005,4,"(3200, 1462)"
M006,5,"(3500, 1532)"
M007,3,"(3800, 1448)"
M008,2,"(4100, 1497)"
M009,3,"(4400, 1559)"
M010,5,"(4700, 1472)"
M011,1,"(5000, 1464)"
M012,4,"(5300, 1535)"
M013,2,"(5600, 1498)"
M014,1,"(5900, 1492)"
M015,1,"(6200, 1462)"
M016,2,"(6500, 1446)"
M017,1,"(6800, 1477)"
M018,4,"(7100, 1516)"
M019,4,"(7400, 1571)"
M020,4,"(7700, 1481)"
M021,5,"(8000, 1505)"
M022,1,"(8300, 1460)"
M023,4,"(8600, 1525)"
M024,5,"(8900, 1536)"
M025,4,"(9200, 1473)"
M026,4,"(9500, 1509)"
M027,2,"(9800, 1470)"
M028,4,"(10100, 1508)"
M029,4,"(10400, 1532)"
M030,4,"(10700, 1503)"
M031,4,"(11000, 1522)"
M032,4,"(11300, 1507)"
M033,3,"(11600, 1482)"
M034,3,"(11900, 1560)"
M035,5,"(12200, 1456)"
