Node_ID,Total_L_Neighbors,CenterPoint
M001,4,"(2000, 1500)"
M002,1,"(2400, 1500)"
M003,1,"(2800, 1500)"
M004,2,"(3200, 1500)"
M005,2,"(2000, 1800)"
M006,5,"(2400, 1800)"
M007,1,"(2800, 1800)"
M008,3,"(3200, 1800)"
M009,5,"(2000, 2100)"
M010,1,"(2400, 2100)"
M011,3,"(2800, 2100)"
M012,3,"(3200, 2100)"
M013,4,"(2000, 2400)"
M014,4,"(2400, 2400)"
M015,3,"(2800, 2400)"
M016,3,"(3200, 2400)"
M017,5,"(2000, 2700)"
M018,3,"(2400, 2700)"
M019,4,"(2800, 2700)"
M020,4,"(3200, 2700)"
M021,4,"(2000, 3000)"
M022,2,"(2400, 3000)"
M023,5,"(2800, 3000)"
M024,5,"(3200, 3000)"
M025,5,"(2000, 3300)"
M026,2,"(2400, 3300)"
M027,5,"(2800, 3300)"
M028,2,"(3200, 3300)"
