Node_ID,Total_L_Neighbors,CenterPoint
M001,3,"(2000, 1500)"
M002,5,"(2400, 1500)"
M003,2,"(2800, 1500)"
M004,4,"(2000, 1800)"
M005,5,"(2400, 1800)"
M006,2,"(2800, 1800)"
M007,1,"(2000, 2100)"
M008,2,"(2400, 2100)"
M009,2,"(2800, 2100)"
M010,3,"(2000, 2400)"
M011,3,"(2400, 2400)"
M012,2,"(2800, 2400)"
M013,3,"(2000, 2700)"
M014,1,"(2400, 2700)"
M015,5,"(2800, 2700)"
M016,5,"(2000, 3000)"
M017,3,"(2400, 3000)"
M018,2,"(2800, 3000)"
M019,1,"(2000, 3300)"
M020,1,"(2400, 3300)"
M021,4,"(2800, 3300)"
M022,3,"(2000, 3600)"
M023,4,"(2400, 3600)"
M024,3,"(2800, 3600)"
