Node_ID,Total_L_Neighbors,CenterPoint
M001,5,"(2000, 1460)"
M002,3,"(2300, 1470)"
M003,5,"(2600, 1507)"
M004,5,"(2900, 1481)"
M005,5,"(3200, 1472)"
M006,5,"(3500, 1498)"
M007,5,"(3800, 1502)"
M008,1,"(4100, 1493)"
M009,5,"(4400, 1488)"
M010,5,"(4700, 1525)"
M011,3,"(5000, 1510)"
M012,5,"(5300, 1493)"
M013,5,"(5600, 1573)"
M014,5,"(5900, 1505)"
M015,2,"(6200, 1533)"
M016,2,"(6500, 1483)"
M017,2,"(6800, 1459)"
M018,5,"(7100, 1476)"
M019,1,"(7400, 1491)"
M020,2,"(7700, 1485)"
M021,4,"(8000, 1540)"
M022,2,"(8300, 1496)"
M023,3,"(8600, 1513)"
M024,1,"(8900, 1498)"
M025,3,"(9200, 1486)"
M026,3,"(9500, 1501)"
M027,2,"(9800, 1551)"
M028,3,"(10100, 1476)"
M029,3,"(10400, 1523)"
M030,1,"(10700, 1469)"
