Node_ID,Total_L_Neighbors,CenterPoint
M001,3,"(2000, 1486)"
M002,5,"(2300, 1487)"
M003,1,"(2600, 1532)"
M004,2,"(2900, 1481)"
M005,1,"(3200, 1528)"
M006,2,"(3500, 1494)"
M007,4,"(3800, 1494)"
M008,3,"(4100, 1517)"
M009,5,"(4400, 1436)"
M010,3,"(4700, 1495)"
M011,2,"(5000, 1493)"
M012,4,"(5300, 1473)"
M013,2,"(5600, 1489)"
M014,4,"(5900, 1507)"
M015,4,"(6200, 1521)"
M016,5,"(6500, 1494)"
M017,5,"(6800, 1506)"
M018,3,"(7100, 1468)"
M019,5,"(7400, 1463)"
M020,2,"(7700, 1503)"
M021,2,"(8000, 1510)"
M022,4,"(8300, 1493)"
