Node_ID,Total_L_Neighbors,CenterPoint
M001,4,"(2600, 1500)"
M002,2,"(2589, 1573)"
M003,1,"(2559, 1644)"
M004,5,"(2510, 1710)"
M005,2,"(2443, 1769)"
M006,2,"(2361, 1819)"
M007,5,"(2267, 1858)"
M008,1,"(2164, 1884)"
M009,5,"(2055, 1898)"
M010,4,"(1944, 1898)"
M011,4,"(1835, 1884)"
M012,1,"(1732, 1858)"
M013,2,"(1638, 1819)"
M014,5,"(1556, 1769)"
M015,3,"(1489, 1710)"
M016,1,"(1440, 1644)"
M017,5,"(1410, 1573)"
M018,5,"(1400, 1500)"
M019,1,"(1410, 1426)"
M020,3,"(1440, 1355)"
M021,4,"(1489, 1289)"
M022,4,"(1556, 1230)"
M023,2,"(1638, 1180)"
M024,2,"(1732, 1141)"
M025,4,"(1835, 1115)"
M026,3,"(1944, 1101)"
M027,1,"(2055, 1101)"
M028,5,"(2164, 1115)"
M029,2,"(2267, 1141)"
M030,4,"(2361, 1180)"
M031,5,"(2443, 1230)"
M032,1,"(2510, 1289)"
M033,1,"(2559, 1355)"
M034,2,"(2589, 1426)"
