Node_ID,Total_L_Neighbors,CenterPoint
M001,3,"(2000, 1500)"
M002,1,"(2400, 1500)"
M003,2,"(2800, 1500)"
M004,1,"(2000, 1800)"
M005,3,"(2400, 1800)"
M006,5,"(2800, 1800)"
M007,1,"(2000, 2100)"
M008,1,"(2400, 2100)"
M009,5,"(2800, 2100)"
M010,4,"(2000, 2400)"
M011,5,"(2400, 2400)"
M012,4,"(2800, 2400)"
M013,5,"(2000, 2700)"
M014,1,"(2400, 2700)"
M015,4,"(2800, 2700)"
M016,4,"(2000, 3000)"
M017,5,"(2400, 3000)"
M018,1,"(2800, 3000)"
M019,1,"(2000, 3300)"
M020,1,"(2400, 3300)"
M021,4,"(2800, 3300)"
M022,4,"(2000, 3600)"
M023,4,"(2400, 3600)"
M024,1,"(2800, 3600)"
