Node_ID,Total_L_Neighbors,CenterPoint
M001,1,"(2000, 1518)"
M002,2,"(2300, 1474)"
M003,5,"(2600, 1458)"
M004,1,"(2900, 1546)"
M005,4,"(3200, 1471)"
M006,3,"(3500, 1480)"
M007,2,"(3800, 1506)"
M008,5,"(4100, 1517)"
M009,1,"(4400, 1492)"
M010,5,"(4700, 1513)"
M011,3,"(5000, 1487)"
M012,2,"(5300, 1470)"
M013,5,"(5600, 1542)"
M014,3,"(5900, 1574)"
M015,2,"(6200, 1550)"
M016,5,"(6500, 1504)"
M017,1,"(6800, 1555)"
M018,3,"(7100, 1510)"
M019,1,"(7400, 1485)"
M020,3,"(7700, 1513)"
M021,1,"(8000, 1497)"
