Node_ID,Total_L_Neighbors,CenterPoint
M001,3,"(2000, 1460)"
M002,5,"(2300, 1480)"
M003,3,"(2600, 1509)"
M004,3,"(2900, 1576)"
M005,3,"(3200, 1479)"
M006,2,"(3500, 1476)"
M007,4,"(3800, 1480)"
M008,1,"(4100, 1538)"
M009,4,"(4400, 1520)"
M010,1,"(4700, 1541)"
M011,5,"(5000, 1472)"
M012,4,"(5300, 1538)"
M013,1,"(5600, 1510)"
M014,3,"(5900, 1517)"
M015,5,"(6200, 1482)"
M016,4,"(6500, 1472)"
M017,2,"(6800, 1468)"
M018,5,"(7100, 1502)"
M019,3,"(7400, 1458)"
M020,3,"(7700, 1459)"
M021,3,"(8000, 1480)"
M022,1,"(8300, 1533)"
M023,4,"(8600, 1536)"
M024,5,"(8900, 1496)"
