Node_ID,Total_L_Neighbors,CenterPoint
M001,4,"(2000, 1500)"
M002,3,"(2500, 1500)"
M003,3,"(2488, 1607)"
M004,1,"(2453, 1709)"
M005,2,"(2398, 1802)"
M006,4,"(2323, 1881)"
M007,3,"(2234, 1941)"
M008,2,"(2133, 1981)"
M009,3,"(2027, 1999)"
M010,3,"(1919, 1993)"
M011,1,"(1814, 1964)"
M012,4,"(1719, 1913)"
M013,4,"(1637, 1843)"
M014,3,"(1571, 1757)"
M015,2,"(1526, 1659)"
M016,4,"(1502, 1554)"
M017,1,"(1502, 1445)"
M018,4,"(1526, 1340)"
M019,1,"(1571, 1242)"
M020,2,"(1637, 1156)"
M021,3,"(1719, 1086)"
M022,2,"(1814, 1035)"
M023,2,"(1919, 1006)"
M024,1,"(2027, 1000)"
M025,2,"(2133, 1018)"
M026,3,"(2234, 1058)"
M027,4,"(2323, 1118)"
M028,1,"(2398, 1197)"
M029,1,"(2453, 1290)"
M030,2,"(2488, 1392)"
