Node_ID,Total_L_Neighbors,CenterPoint
M001,3,"(2600, 1500)"
M002,1,"(2573, 1617)"
M003,3,"(2495, 1725)"
M004,3,"(2374, 1812)"
M005,4,"(2219, 1872)"
M006,4,"(2044, 1898)"
M007,5,"(1866, 1889)"
M008,3,"(1700, 1846)"
M009,3,"(1560, 1772)"
M010,5,"(1459, 1673)"
M011,3,"(1406, 1559)"
M012,3,"(1406, 1440)"
M013,5,"(1459, 1326)"
M014,5,"(1560, 1227)"
M015,5,"(1699, 1153)"
M016,2,"(1866, 1110)"
M017,4,"(2044, 1101)"
M018,5,"(2219, 1127)"
M019,2,"(2374, 1187)"
M020,4,"(2495, 1274)"
M021,5,"(2573, 1382)"
