Node_ID,Total_L_Neighbors,CenterPoint
M001,5,"(2000, 1500)"
M002,4,"(2500, 1500)"
M003,1,"(2475, 1654)"
M004,4,"(2404, 1793)"
M005,1,"(2293, 1904)"
M006,1,"(2154, 1975)"
M007,2,"(2000, 2000)"
M008,2,"(1845, 1975)"
M009,5,"(1706, 1904)"
M010,5,"(1595, 1793)"
M011,3,"(1524, 1654)"
M012,3,"(1500, 1500)"
M013,5,"(1524, 1345)"
M014,2,"(1595, 1206)"
M015,1,"(1706, 1095)"
M016,3,"(1845, 1024)"
M017,2,"(2000, 1000)"
M018,1,"(2154, 1024)"
M019,3,"(2293, 1095)"
M020,2,"(2404, 1206)"
M021,5,"(2475, 1345)"
