Node_ID,Total_L_Neighbors,CenterPoint
M001,4,"(2600, 1500)"
M002,4,"(2583, 1592)"
M003,2,"(2536, 1679)"
M004,3,"(2459, 1757)"
M005,1,"(2358, 1820)"
M006,4,"(2237, 1867)"
M007,3,"(2104, 1893)"
M008,5,"(1965, 1899)"
M009,1,"(1827, 1883)"
M010,3,"(1700, 1846)"
M011,4,"(1588, 1790)"
M012,5,"(1498, 1719)"
M013,2,"(1436, 1636)"
M014,2,"(1404, 1546)"
M015,2,"(1404, 1453)"
M016,4,"(1436, 1363)"
M017,1,"(1498, 1280)"
M018,3,"(1588, 1209)"
M019,4,"(1699, 1153)"
M020,3,"(1827, 1116)"
M021,4,"(1965, 1100)"
M022,5,"(2104, 1106)"
M023,4,"(2237, 1132)"
M024,2,"(2358, 1179)"
M025,1,"(2459, 1242)"
M026,3,"(2536, 1320)"
M027,5,"(2583, 1407)"
