Node_ID,Total_L_Neighbors,CenterPoint
M001,2,"(2600, 1500)"
M002,2,"(2593, 1558)"
M003,3,"(2574, 1615)"
M004,5,"(2543, 1669)"
M005,1,"(2500, 1720)"
M006,5,"(2446, 1766)"
M007,3,"(2383, 1807)"
M008,2,"(2312, 1841)"
M009,1,"(2234, 1868)"
M010,4,"(2151, 1886)"
M011,4,"(2065, 1897)"
M012,2,"(1978, 1899)"
M013,5,"(1891, 1893)"
M014,5,"(1806, 1878)"
M015,1,"(1725, 1855)"
M016,3,"(1650, 1825)"
M017,5,"(1583, 1787)"
M018,4,"(1525, 1744)"
M019,4,"(1476, 1695)"
M020,4,"(1439, 1642)"
M021,5,"(1414, 1586)"
M022,2,"(1401, 1529)"
M023,5,"(1401, 1470)"
M024,5,"(1414, 1413)"
M025,1,"(1439, 1357)"
M026,3,"(1476, 1304)"
M027,5,"(1525, 1255)"
M028,5,"(1583, 1212)"
M029,3,"(1650, 1174)"
M030,4,"(1725, 1144)"
M031,3,"(1806, 1121)"
M032,5,"(1891, 1106)"
M033,2,"(1978, 1100)"
M034,1,"(2065, 1102)"
M035,1,"(2151, 1113)"
M036,3,"(2234, 1131)"
M037,3,"(2312, 1158)"
M038,4,"(2383, 1192)"
M039,1,"(2446, 1233)"
M040,3,"(2500, 1279)"
M041,5,"(2543, 1330)"
M042,5,"(2574, 1384)"
M043,2,"(2593, 1441)"
