Node_ID,Total_L_Neighbors,CenterPoint
M001,3,"(2000, 1492)"
M002,4,"(2300, 1546)"
M003,5,"(2600, 1522)"
M004,5,"(2900, 1426)"
M005,3,"(3200, 1448)"
M006,2,"(3500, 1512)"
M007,3,"(3800, 1491)"
M008,1,"(4100, 1507)"
M009,4,"(4400, 1521)"
M010,1,"(4700, 1506)"
M011,3,"(5000, 1439)"
M012,5,"(5300, 1528)"
M013,4,"(5600, 1494)"
M014,3,"(5900, 1485)"
M015,2,"(6200, 1558)"
M016,3,"(6500, 1544)"
M017,2,"(6800, 1497)"
M018,5,"(7100, 1512)"
M019,2,"(7400, 1490)"
M020,1,"(7700, 1506)"
M021,1,"(8000, 1497)"
M022,1,"(8300, 1554)"
M023,1,"(8600, 1492)"
M024,1,"(8900, 1514)"
M025,2,"(9200, 1478)"
M026,1,"(9500, 1464)"
M027,4,"(9800, 1518)"
M028,2,"(10100, 1515)"
M029,5,"(10400, 1484)"
M030,2,"(10700, 1524)"
M031,3,"(11000, 1534)"
M032,5,"(11300, 1475)"
M033,1,"(11600, 1483)"
M034,1,"(11900, 1490)"
M035,3,"(12200, 1555)"
M036,1,"(12500, 1487)"
M037,5,"(12800, 1514)"
