Node_ID,Total_L_Neighbors,CenterPoint
M001,4,"(2000, 1500)"
M002,5,"(2500, 1500)"
M003,3,"(2475, 1654)"
M004,1,"(2404, 1793)"
M005,4,"(2293, 1904)"
M006,2,"(2154, 1975)"
M007,1,"(2000, 2000)"
M008,1,"(1845, 1975)"
M009,2,"(1706, 1904)"
M010,5,"(1595, 1793)"
M011,4,"(1524, 1654)"
M012,3,"(1500, 1500)"
M013,5,"(1524, 1345)"
M014,3,"(1595, 1206)"
M015,3,"(1706, 1095)"
M016,4,"(1845, 1024)"
M017,1,"(2000, 1000)"
M018,2,"(2154, 1024)"
M019,3,"(2293, 1095)"
M020,5,"(2404, 1206)"
M021,4,"(2475, 1345)"
