Node_ID,Total_L_Neighbors,CenterPoint
M001,5,"(2000, 1500)"
M002,5,"(2500, 1500)"
M003,3,"(2479, 1640)"
M004,2,"(2420, 1770)"
M005,4,"(2327, 1877)"
M006,5,"(2207, 1954)"
M007,2,"(2071, 1994)"
M008,1,"(1928, 1994)"
M009,5,"(1792, 1954)"
M010,5,"(1672, 1877)"
M011,1,"(1579, 1770)"
M012,4,"(1520, 1640)"
M013,4,"(1500, 1500)"
M014,3,"(1520, 1359)"
M015,1,"(1579, 1229)"
M016,2,"(1672, 1122)"
M017,2,"(1792, 1045)"
M018,4,"(1928, 1005)"
M019,3,"(2071, 1005)"
M020,3,"(2207, 1045)"
M021,2,"(2327, 1122)"
M022,3,"(2420, 1229)"
M023,4,"(2479, 1359)"
