Node_ID,Total_L_Neighbors,CenterPoint
M001,2,"(2600, 1500)"
M002,1,"(2581, 1599)"
M003,2,"(2525, 1692)"
M004,3,"(2437, 1773)"
M005,1,"(2321, 1837)"
M006,3,"(2185, 1880)"
M007,2,"(2037, 1899)"
M008,5,"(1887, 1892)"
M009,1,"(1744, 1861)"
M010,5,"(1617, 1808)"
M011,3,"(1514, 1735)"
M012,3,"(1442, 1647)"
M013,1,"(1404, 1550)"
M014,3,"(1404, 1449)"
M015,1,"(1442, 1352)"
M016,3,"(1514, 1264)"
M017,5,"(1617, 1191)"
M018,4,"(1744, 1138)"
M019,2,"(1887, 1107)"
M020,2,"(2037, 1100)"
M021,4,"(2185, 1119)"
M022,4,"(2321, 1162)"
M023,1,"(2437, 1226)"
M024,3,"(2525, 1307)"
M025,5,"(2581, 1400)"
