Node_ID,Total_L_Neighbors,CenterPoint
M001,1,"(2000, 1560)"
M002,1,"(2300, 1599)"
M003,1,"(2600, 1442)"
M004,3,"(2900, 1469)"
M005,5,"(3200, 1491)"
M006,1,"(3500, 1517)"
M007,3,"(3800, 1486)"
M008,5,"(4100, 1492)"
M009,1,"(4400, 1517)"
M010,1,"(4700, 1463)"
M011,4,"(5000, 1536)"
M012,5,"(5300, 1510)"
M013,2,"(5600, 1500)"
M014,1,"(5900, 1505)"
M015,1,"(6200, 1469)"
M016,1,"(6500, 1515)"
M017,4,"(6800, 1447)"
M018,4,"(7100, 1511)"
M019,4,"(7400, 1524)"
M020,5,"(7700, 1465)"
M021,3,"(8000, 1500)"
M022,5,"(8300, 1490)"
M023,3,"(8600, 1479)"
M024,2,"(8900, 1532)"
M025,5,"(9200, 1485)"
M026,1,"(9500, 1605)"
M027,2,"(9800, 1518)"
M028,1,"(10100, 1536)"
M029,3,"(10400, 1509)"
