Node_ID,Total_L_Neighbors,CenterPoint
M001,3,"(2000, 1500)"
M002,2,"(2500, 1500)"
M003,5,"(2487, 1611)"
M004,1,"(2450, 1716)"
M005,3,"(2390, 1811)"
M006,5,"(2311, 1890)"
M007,1,"(2216, 1950)"
M008,4,"(2111, 1987)"
M009,4,"(2000, 2000)"
M010,3,"(1888, 1987)"
M011,5,"(1783, 1950)"
M012,5,"(1688, 1890)"
M013,1,"(1609, 1811)"
M014,4,"(1549, 1716)"
M015,4,"(1512, 1611)"
M016,2,"(1500, 1500)"
M017,5,"(1512, 1388)"
M018,3,"(1549, 1283)"
M019,4,"(1609, 1188)"
M020,3,"(1688, 1109)"
M021,3,"(1783, 1049)"
M022,2,"(1888, 1012)"
M023,4,"(2000, 1000)"
M024,3,"(2111, 1012)"
M025,4,"(2216, 1049)"
M026,2,"(2311, 1109)"
M027,1,"(2390, 1188)"
M028,1,"(2450, 1283)"
M029,1,"(2487, 1388)"
