Node_ID,Total_L_Neighbors,CenterPoint
M001,1,"(2000, 1493)"
M002,2,"(2300, 1509)"
M003,2,"(2600, 1474)"
M004,4,"(2900, 1423)"
M005,1,"(3200, 1519)"
M006,1,"(3500, 1525)"
M007,2,"(3800, 1477)"
M008,3,"(4100, 1568)"
M009,5,"(4400, 1456)"
M010,3,"(4700, 1501)"
M011,1,"(5000, 1494)"
M012,4,"(5300, 1545)"
M013,3,"(5600, 1544)"
M014,3,"(5900, 1504)"
M015,1,"(6200, 1511)"
M016,2,"(6500, 1473)"
M017,1,"(6800, 1440)"
M018,3,"(7100, 1489)"
M019,3,"(7400, 1504)"
M020,4,"(7700, 1536)"
M021,3,"(8000, 1536)"
M022,4,"(8300, 1488)"
M023,3,"(8600, 1490)"
M024,2,"(8900, 1468)"
M025,3,"(9200, 1457)"
M026,4,"(9500, 1448)"
M027,4,"(9800, 1558)"
M028,4,"(10100, 1484)"
M029,3,"(10400, 1486)"
M030,4,"(10700, 1462)"
M031,5,"(11000, 1523)"
M032,2,"(11300, 1451)"
