Node_ID,Total_L_Neighbors,CenterPoint
M001,1,"(2000, 1524)"
M002,1,"(2300, 1530)"
M003,1,"(2600, 1468)"
M004,3,"(2900, 1478)"
M005,4,"(3200, 1521)"
M006,2,"(3500, 1499)"
M007,5,"(3800, 1535)"
M008,1,"(4100, 1506)"
M009,1,"(4400, 1512)"
M010,1,"(4700, 1435)"
M011,4,"(5000, 1519)"
M012,5,"(5300, 1508)"
M013,2,"(5600, 1512)"
M014,4,"(5900, 1501)"
M015,3,"(6200, 1547)"
M016,5,"(6500, 1502)"
M017,5,"(6800, 1483)"
M018,3,"(7100, 1500)"
M019,2,"(7400, 1536)"
M020,5,"(7700, 1494)"
M021,1,"(8000, 1550)"
