Node_ID,Total_L_Neighbors,CenterPoint
M001,2,"(2000, 1537)"
M002,2,"(2300, 1480)"
M003,2,"(2600, 1540)"
M004,2,"(2900, 1478)"
M005,5,"(3200, 1571)"
M006,1,"(3500, 1485)"
M007,2,"(3800, 1508)"
M008,3,"(4100, 1504)"
M009,5,"(4400, 1495)"
M010,1,"(4700, 1506)"
M011,5,"(5000, 1554)"
M012,4,"(5300, 1520)"
M013,2,"(5600, 1518)"
M014,3,"(5900, 1510)"
M015,1,"(6200, 1542)"
M016,5,"(6500, 1490)"
M017,1,"(6800, 1551)"
M018,4,"(7100, 1518)"
M019,3,"(7400, 1523)"
M020,5,"(7700, 1499)"
M021,4,"(8000, 1490)"
M022,3,"(8300, 1497)"
M023,2,"(8600, 1484)"
