Node_ID,Total_L_Neighbors,CenterPoint
M001,5,"(2000, 1535)"
M002,3,"(2300, 1550)"
M003,1,"(2600, 1469)"
M004,1,"(2900, 1509)"
M005,1,"(3200, 1511)"
M006,1,"(3500, 1496)"
M007,1,"(3800, 1502)"
M008,5,"(4100, 1489)"
M009,3,"(4400, 1518)"
M010,2,"(4700, 1491)"
M011,1,"(5000, 1489)"
M012,4,"(5300, 1527)"
M013,1,"(5600, 1517)"
M014,5,"(5900, 1455)"
M015,3,"(6200, 1532)"
M016,4,"(6500, 1469)"
M017,1,"(6800, 1490)"
M018,5,"(7100, 1481)"
M019,1,"(7400, 1542)"
M020,1,"(7700, 1507)"
M021,4,"(8000, 1499)"
M022,5,"(8300, 1506)"
M023,3,"(8600, 1532)"
M024,5,"(8900, 1501)"
M025,3,"(9200, 1455)"
M026,3,"(9500, 1495)"
M027,3,"(9800, 1509)"
