Node_ID,Total_L_Neighbors,CenterPoint
M001,2,"(2000, 1500)"
M002,5,"(2500, 1500)"
M003,1,"(2482, 1629)"
M004,5,"(2433, 1750)"
M005,2,"(2353, 1853)"
M006,2,"(2250, 1933)"
M007,1,"(2129, 1982)"
M008,4,"(2000, 2000)"
M009,3,"(1870, 1982)"
M010,4,"(1750, 1933)"
M011,5,"(1646, 1853)"
M012,1,"(1566, 1750)"
M013,2,"(1517, 1629)"
M014,4,"(1500, 1500)"
M015,1,"(1517, 1370)"
M016,3,"(1566, 1250)"
M017,2,"(1646, 1146)"
M018,4,"(1749, 1066)"
M019,2,"(1870, 1017)"
M020,5,"(2000, 1000)"
M021,3,"(2129, 1017)"
M022,3,"(2250, 1066)"
M023,3,"(2353, 1146)"
M024,5,"(2433, 1249)"
M025,4,"(2482, 1370)"
