Node_ID,Total_L_Neighbors,CenterPoint
M001,5,"(2000, 1500)"
M002,4,"(2500, 1500)"
M003,1,"(2477, 1647)"
M004,5,"(2413, 1781)"
M005,2,"(2311, 1890)"
M006,3,"(2182, 1965)"
M007,2,"(2037, 1998)"
M008,5,"(1888, 1987)"
M009,2,"(1750, 1933)"
M010,5,"(1633, 1840)"
M011,2,"(1549, 1716)"
M012,3,"(1505, 1574)"
M013,4,"(1505, 1425)"
M014,3,"(1549, 1283)"
M015,3,"(1633, 1159)"
M016,3,"(1749, 1066)"
M017,4,"(1888, 1012)"
M018,3,"(2037, 1001)"
M019,5,"(2182, 1034)"
M020,2,"(2311, 1109)"
M021,4,"(2413, 1218)"
M022,1,"(2477, 1352)"
