Node_ID,Total_L_Neighbors,CenterPoint
M001,3,"(2000, 1500)"
M002,4,"(2500, 1500)"
M003,3,"(2479, 1640)"
M004,4,"(2420, 1770)"
M005,5,"(2327, 1877)"
M006,1,"(2207, 1954)"
M007,1,"(2071, 1994)"
M008,1,"(1928, 1994)"
M009,1,"(1792, 1954)"
M010,1,"(1672, 1877)"
M011,2,"(1579, 1770)"
M012,5,"(1520, 1640)"
M013,1,"(1500, 1500)"
M014,1,"(1520, 1359)"
M015,4,"(1579, 1229)"
M016,5,"(1672, 1122)"
M017,4,"(1792, 1045)"
M018,1,"(1928, 1005)"
M019,5,"(2071, 1005)"
M020,5,"(2207, 1045)"
M021,5,"(2327, 1122)"
M022,3,"(2420, 1229)"
M023,2,"(2479, 1359)"
