Node_ID,Total_L_Neighbors,CenterPoint
M001,4,"(2000, 1500)"
M002,5,"(2500, 1500)"
M003,3,"(2485, 1619)"
M004,2,"(2442, 1732)"
M005,4,"(2374, 1831)"
M006,2,"(2284, 1911)"
M007,2,"(2177, 1967)"
M008,5,"(2060, 1996)"
M009,3,"(1939, 1996)"
M010,4,"(1822, 1967)"
M011,5,"(1715, 1911)"
M012,1,"(1625, 1831)"
M013,4,"(1557, 1732)"
M014,5,"(1514, 1619)"
M015,4,"(1500, 1499)"
M016,4,"(1514, 1380)"
M017,5,"(1557, 1267)"
M018,2,"(1625, 1168)"
M019,2,"(1715, 1088)"
M020,5,"(1822, 1032)"
M021,4,"(1939, 1003)"
M022,2,"(2060, 1003)"
M023,3,"(2177, 1032)"
M024,1,"(2284, 1088)"
M025,1,"(2374, 1168)"
M026,3,"(2442, 1267)"
M027,3,"(2485, 1380)"
