Node_ID,Total_L_Neighbors,CenterPoint
M001,2,"(2600, 1500)"
M002,4,"(2579, 1603)"
M003,3,"(2519, 1700)"
M004,4,"(2424, 1782)"
M005,4,"(2300, 1846)"
M006,5,"(2155, 1886)"
M007,5,"(2000, 1900)"
M008,2,"(1844, 1886)"
M009,2,"(1700, 1846)"
M010,4,"(1575, 1782)"
M011,5,"(1480, 1700)"
M012,5,"(1420, 1603)"
M013,4,"(1400, 1500)"
M014,5,"(1420, 1396)"
M015,1,"(1480, 1300)"
M016,3,"(1575, 1217)"
M017,1,"(1699, 1153)"
M018,1,"(1844, 1113)"
M019,1,"(2000, 1100)"
M020,5,"(2155, 1113)"
M021,4,"(2300, 1153)"
M022,2,"(2424, 1217)"
M023,3,"(2519, 1299)"
M024,3,"(2579, 1396)"
