Node_ID,Total_L_Neighbors,CenterPoint
M001,1,"(2000, 1500)"
M002,2,"(2500, 1500)"
M003,5,"(2486, 1615)"
M004,5,"(2446, 1724)"
M005,2,"(2383, 1821)"
M006,1,"(2298, 1901)"
M007,1,"(2198, 1959)"
M008,1,"(2086, 1992)"
M009,4,"(1970, 1999)"
M010,5,"(1856, 1978)"
M011,5,"(1750, 1933)"
M012,3,"(1656, 1863)"
M013,3,"(1582, 1774)"
M014,4,"(1530, 1671)"
M015,4,"(1503, 1558)"
M016,5,"(1503, 1441)"
M017,3,"(1530, 1328)"
M018,2,"(1582, 1225)"
M019,1,"(1656, 1136)"
M020,5,"(1749, 1066)"
M021,2,"(1856, 1021)"
M022,4,"(1970, 1000)"
M023,1,"(2086, 1007)"
M024,4,"(2198, 1040)"
M025,3,"(2298, 1098)"
M026,2,"(2383, 1178)"
M027,1,"(2446, 1275)"
M028,1,"(2486, 1384)"
