Node_ID,Total_L_Neighbors,CenterPoint
M001,2,"(2000, 1500)"
M002,4,"(2500, 1500)"
M003,3,"(2482, 1629)"
M004,5,"(2433, 1750)"
M005,2,"(2353, 1853)"
M006,2,"(2250, 1933)"
M007,3,"(2129, 1982)"
M008,3,"(2000, 2000)"
M009,5,"(1870, 1982)"
M010,4,"(1750, 1933)"
M011,5,"(1646, 1853)"
M012,3,"(1566, 1750)"
M013,5,"(1517, 1629)"
M014,3,"(1500, 1500)"
M015,2,"(1517, 1370)"
M016,5,"(1566, 1250)"
M017,1,"(1646, 1146)"
M018,2,"(1749, 1066)"
M019,1,"(1870, 1017)"
M020,3,"(2000, 1000)"
M021,1,"(2129, 1017)"
M022,4,"(2250, 1066)"
M023,3,"(2353, 1146)"
M024,1,"(2433, 1249)"
M025,3,"(2482, 1370)"
