Node_ID,Total_L_Neighbors,CenterPoint
M001,2,"(2000, 1500)"
M002,1,"(2500, 1500)"
M003,1,"(2489, 1603)"
M004,3,"(2456, 1703)"
M005,2,"(2404, 1793)"
M006,2,"(2334, 1871)"
M007,1,"(2250, 1933)"
M008,2,"(2154, 1975)"
M009,2,"(2052, 1997)"
M010,1,"(1947, 1997)"
M011,1,"(1845, 1975)"
M012,4,"(1750, 1933)"
M013,4,"(1665, 1871)"
M014,4,"(1595, 1793)"
M015,4,"(1543, 1703)"
M016,2,"(1510, 1603)"
M017,3,"(1500, 1500)"
M018,1,"(1510, 1396)"
M019,1,"(1543, 1296)"
M020,5,"(1595, 1206)"
M021,3,"(1665, 1128)"
M022,3,"(1749, 1066)"
M023,1,"(1845, 1024)"
M024,3,"(1947, 1002)"
M025,5,"(2052, 1002)"
M026,2,"(2154, 1024)"
M027,4,"(2250, 1066)"
M028,5,"(2334, 1128)"
M029,4,"(2404, 1206)"
M030,1,"(2456, 1296)"
M031,2,"(2489, 1396)"
