floor_id,mall_id,city_cluster,layout_type,people,GDP_2023,PCDI_2023,TP_2023,mall_area_count,nearest_distance_km,count_1km,count_2km,total_area,Tx,L1_density,L2_diameter,L2_complexity,L2_integration,total_score
SYN00000_1,SYN00000,2,一字型,16793.439885848864,112904.89398886138,15000.0,9534.054297514449,37.63842001663274,0.8500750677970652,10.0,28.0,140356.9322071188,37.371645994402364,0.0625,31,1.0,0.08333333333333333,65.94903887914413
SYN00000_2,SYN00000,2,一字型,16793.439885848864,112904.89398886138,15000.0,9534.054297514449,37.63842001663274,0.8500750677970652,10.0,28.0,140356.9322071188,37.371645994402364,0.07692307692307693,25,1.0,0.1,72.82268888599049
SYN00000_3,SYN00000,2,一字型,16793.439885848864,112904.89398886138,15000.0,9534.054297514449,37.63842001663274,0.8500750677970652,10.0,28.0,140356.9322071188,37.371645994402364,0.09090909090909091,21,1.0,0.11538461538461536,73.415883323326
SYN00000_4,SYN00000,2,一字型,16793.439885848864,112904.89398886138,15000.0,9534.054297514449,37.63842001663274,0.8500750677970652,10.0,28.0,140356.9322071188,37.371645994402364,0.05405405405405406,36,1.0,0.07317073170731708,67.54110407157474
SYN00001_1,SYN00001,3,多环型,21213.420689122322,85307.80663592315,46205.1989685452,1788.8827298779488,69.65632270301141,0.19438326342572462,11.0,26.0,130396.05564014216,19.957947223410226,0.13405797101449277,9,1.5833333333333335,0.2142857142857143,81.02998432108348
SYN00001_2,SYN00001,3,多环型,21213.420689122322,85307.80663592315,46205.1989685452,1788.8827298779488,69.65632270301141,0.19438326342572462,11.0,26.0,130396.05564014216,19.957947223410226,0.20952380952380953,6,1.5333333333333332,0.27272727272727276,87.99399183018984
SYN00001_3,SYN00001,3,多环型,21213.420689122322,85307.80663592315,46205.1989685452,1788.8827298779488,69.65632270301141,0.19438326342572462,11.0,26.0,130396.05564014216,19.957947223410226,0.6666666666666666,2,1.25,0.4285714285714286,100.0
SYN00001_4,SYN00001,3,多环型,21213.420689122322,85307.80663592315,46205.1989685452,1788.8827298779488,69.65632270301141,0.19438326342572462,11.0,26.0,130396.05564014216,19.957947223410226,0.11904761904761904,9,1.6428571428571428,0.2142857142857143,79.74556551176904
SYN00002_1,SYN00002,2,简单集中型,511.9187852298237,25435.09530179396,46907.17132327398,2123.9438089243845,112.11622270522933,0.2984715870158426,6.0,28.0,118100.84639824406,42.574056279026635,0.08,2,1.0,0.3424657534246575,78.72473915182715
SYN00002_2,SYN00002,2,简单集中型,511.9187852298237,25435.09530179396,46907.17132327398,2123.9438089243845,112.11622270522933,0.2984715870158426,6.0,28.0,118100.84639824406,42.574056279026635,0.10526315789473684,2,1.0,0.3454545454545455,78.48685724474501
SYN00002_3,SYN00002,2,简单集中型,511.9187852298237,25435.09530179396,46907.17132327398,2123.9438089243845,112.11622270522933,0.2984715870158426,6.0,28.0,118100.84639824406,42.574056279026635,0.1111111111111111,2,1.0,0.34615384615384615,79.87883893005295
SYN00003_1,SYN00003,2,复杂集中型,16930.534651013786,53918.050932591264,62160.50376274013,10056.675416860655,52.75248732875509,0.433893714749807,8.0,21.0,94386.75775117057,26.694462581667267,1.0,1,1.75,0.5,100.0
